,dt,const,LeadR,MidR,LagR,Lead,ex_Lead,Mid,ex_Mid,Lag,ex_Lag,LL,ex_LL,LLStrong,ex_LLStrong,mktrf,smb,hml,rf
80,19780929,1,0.007578631098796841,-0.0198309426598376,-0.024241091236172956,20.020002235096317,12.580002235096318,-12.87148627526484,-20.31148627526484,-18.16366456686732,-25.603664566867316,38.18366680196375,38.18366680196375,69.10206749380428,69.10206749380428,-1.43,-0.41,1.88,0.62
81,19781031,1,-0.1209561230811801,-0.11275759765230677,-0.12867779591673228,-134.32028002824325,-142.48028002824324,-124.48204951359516,-132.64204951359517,-143.58628743090586,-151.74628743090585,9.26600740266252,9.26600740266252,17.6495064058236,17.6495064058236,-11.91,-9.9,1.36,0.68
82,19781130,1,0.029371328206666783,0.02075833307778919,0.04300447987376352,42.399096083469715,33.999096083469716,32.0635019288166,23.6635019288166,58.758878083985756,50.35887808398576,-16.35978200051604,-16.35978200051604,-5.39564834827728,-5.39564834827728,2.71,3.02,-2.21,0.7
83,19781229,1,0.019994026246939176,0.003960702224044196,0.03158728774914258,31.10394260743824,21.74394260743824,11.863953779964358,2.503953779964359,45.01585641008232,35.65585641008232,-13.91191380264408,-13.91191380264408,-15.976552085203199,-15.976552085203199,0.88,1.24,-2.19,0.78
84,19790131,1,0.031055924536618616,0.0435028279327251,0.03631984204088148,47.87093860447248,38.630938604472476,62.807222679800155,53.56722267980015,54.18763960958785,44.947639609587846,-6.316701005115361,-6.316701005115361,-8.20739252268468,-8.20739252268468,4.23,3.69,2.25,0.77
85,19790228,1,-0.02018182473632118,-0.04673746703453097,-0.0394988012158921,-11.95541596095768,-20.715415960957678,-43.82218671880944,-52.58218671880944,-35.13578773644276,-43.895787736442756,23.18037177548508,23.18037177548508,26.176523310405603,26.176523310405603,-3.56,0.46,1.18,0.73
86,19790330,1,0.06311283778839324,0.045550601111686774,0.05612571652240701,87.8741336697714,78.1541336697714,66.79944965772371,57.079449657723714,79.48958815058796,69.76958815058796,8.38454551918344,8.38454551918344,9.539521076993521,9.539521076993521,5.68,3.19,-0.65,0.81
87,19790430,1,-0.008219359861852776,0.0021933786155295208,-0.01682838741574234,2.15393554775076,-7.446064452249241,14.649221720609521,5.04922172060952,-8.17689751691664,-17.77689751691664,10.330833064667399,10.330833064667399,7.310804275786441,7.310804275786441,-0.06,2.16,1.07,0.8
88,19790531,1,-0.031636903413488834,-0.02691682839171169,-0.03433004154070419,-24.36655038513816,-34.20655038513816,-18.70246035900552,-28.54246035900552,-27.59831613779652,-37.43831613779652,3.2317657526583594,3.2317657526583594,22.65892664128788,22.65892664128788,-2.21,0.49,1.83,0.82
89,19790629,1,0.026456936732497043,0.04623753190069126,0.0030823727355825184,45.1937022302568,35.4737022302568,68.93041643208997,59.21041643208997,17.1442254339594,7.424225433959398,28.0494767962974,28.0494767962974,41.589891868174675,41.589891868174675,3.85,1.16,1.44,0.81
90,19790731,1,-0.00337113557592501,0.008978652602020899,-0.004723076524461879,9.25103620085652,0.011036200856519685,24.070782014391597,14.830782014391596,7.628707062612359,-1.611292937387641,1.62232913824416,1.62232913824416,18.52989560977536,18.52989560977536,0.82,1.26,1.72,0.77
91,19790831,1,0.055853703890776485,0.05524013281822637,0.05097521252820629,78.5312939840004,69.2912939840004,77.79500869694027,68.55500869694028,72.67710434891616,63.43710434891616,5.85418963508412,5.85418963508412,-11.1279646344078,-11.1279646344078,5.53,2.08,-1.52,0.77
92,19790928,1,-0.018535561736169655,-0.0015095372704011338,-0.022166169109698746,-10.84511641718904,-20.80511641718904,9.586112941733042,-0.37388705826695734,-15.20184526542396,-25.16184526542396,4.3567288482348,4.3567288482348,43.306683989133724,43.306683989133724,-0.82,-0.26,-0.92,0.83
93,19791031,1,-0.11154667701525443,-0.0742027543317009,-0.09324526222560409,-120.9527866118537,-131.3927866118537,-76.14007939158948,-86.58007939158948,-98.99108886427321,-109.4310888642732,-21.96169774758036,-21.96169774758036,-25.15690692309216,-25.15690692309216,-8.1,-3.33,-1.86,0.87
94,19791130,1,0.02336475192964911,0.05320089841938075,0.058785831893968604,40.803659762387525,28.923659762387526,76.60703555006545,64.72703555006545,83.30895571957092,71.42895571957092,-42.505295957183286,-42.505295957183286,-57.733510099599485,-57.733510099599485,5.21,2.74,-3.28,0.99
95,19791231,1,0.04198379449577268,0.009482293102974129,0.012731943328018688,64.5910797107166,53.1910797107166,25.589278039358398,14.189278039358399,29.488858309411803,18.088858309411805,35.102221401304675,35.102221401304675,36.84966201230208,36.84966201230208,1.79,4.17,-2.01,0.95
96,19800131,1,0.11434702796529789,0.020224344485218794,0.03963163672199827,154.38158310322066,144.78158310322067,41.43436292712576,31.83436292712576,64.72311361126117,55.12311361126117,89.65846949195951,89.65846949195951,94.74062712990168,94.74062712990168,5.51,1.65,1.82,0.8
97,19800229,1,0.06794014521280464,-0.0494512968162011,-0.052356405277441426,96.91278963998089,86.2327896399809,-43.95694079482596,-54.63694079482596,-47.44307094831433,-58.12307094831433,144.3558605882952,144.3558605882952,160.95189448266217,160.95189448266217,-1.22,-1.81,0.61,0.89
